Original_Path,New_WebP_Path,Status,Error
images\100percent\0002_FA23_ACCURI_2_50018-00008-SAND_67b0f584-0469-463e-8087-cdb90d910bb6.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50018-00008-SAND_67b0f584-0469-463e-8087-cdb90d910bb6.webp,SUCCESS,
images\100percent\0002_FA23_ARMEGA_HIPER-Red-Mirror_50003-00012.jpg,processed_images\100percent\0002_FA23_ARMEGA_HIPER-Red-Mirror_50003-00012.webp,SUCCESS,
images\100percent\0002_FA23_STRATA_2_50027-00015.jpg,processed_images\100percent\0002_FA23_STRATA_2_50027-00015.webp,SUCCESS,
images\100percent\0002_FA23_STRATA_2_50028-00015.jpg,processed_images\100percent\0002_FA23_STRATA_2_50028-00015.webp,SUCCESS,
images\100percent\0002_FA23_STRATA_2_50030-00005-SAND.jpg,processed_images\100percent\0002_FA23_STRATA_2_50030-00005-SAND.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50013-00041.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50013-00041.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50014-00041.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50014-00041.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50015-00009-Enduro-MOTO_96102b92-d183-4d6d-bb7f-cb8138986f3c.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50015-00009-Enduro-MOTO_96102b92-d183-4d6d-bb7f-cb8138986f3c.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50016-00009-MTB_c9ce312e-1504-4a1a-9729-a8cc3f80d0e0.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50016-00009-MTB_c9ce312e-1504-4a1a-9729-a8cc3f80d0e0.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50017-00011-FORECAST_971ad109-69d3-410a-921a-da513357be83.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50017-00011-FORECAST_971ad109-69d3-410a-921a-da513357be83.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50018-00009-OTG_d505b93d-7685-49ac-8b8e-932c34caa5b0.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50018-00009-OTG_d505b93d-7685-49ac-8b8e-932c34caa5b0.webp,SUCCESS,
images\100percent\0003_FA23_ACCURI_2_50018-00009-SAND_9143aa5b-1b5d-4d7d-be77-64ec8688d93d.jpg,processed_images\100percent\0003_FA23_ACCURI_2_50018-00009-SAND_9143aa5b-1b5d-4d7d-be77-64ec8688d93d.webp,SUCCESS,
images\100percent\0003_FA23_STRATA_2_50027-00017.jpg,processed_images\100percent\0003_FA23_STRATA_2_50027-00017.webp,SUCCESS,
images\100percent\0003_FA23_STRATA_2_50028-00017.jpg,processed_images\100percent\0003_FA23_STRATA_2_50028-00017.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50013-00042.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50013-00042.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50013-00042_cd3eaccb-4908-4393-a1d6-831c83918d74.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50013-00042_cd3eaccb-4908-4393-a1d6-831c83918d74.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50014-00042.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50014-00042.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50014-00042_7047ea0f-d476-480b-8938-fd58d7664359.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50014-00042_7047ea0f-d476-480b-8938-fd58d7664359.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50015-00010-Enduro-MOTO_49b15276-5daa-459e-87a0-1f260992938e.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50015-00010-Enduro-MOTO_49b15276-5daa-459e-87a0-1f260992938e.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50016-00010-MTB_75e39c4c-df60-47ec-b9ee-5236bb174657.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50016-00010-MTB_75e39c4c-df60-47ec-b9ee-5236bb174657.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50017-00012-FORECAST_df954a85-791c-4253-874c-d2b7a6b5ebb4.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50017-00012-FORECAST_df954a85-791c-4253-874c-d2b7a6b5ebb4.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50018-00010-OTG_96a6b22d-9fdc-4d7e-8513-36c7eb2d67de.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50018-00010-OTG_96a6b22d-9fdc-4d7e-8513-36c7eb2d67de.webp,SUCCESS,
images\100percent\0004_FA23_ACCURI_2_50018-00010-SAND_b594db71-713d-428c-9950-c487b31d6783.jpg,processed_images\100percent\0004_FA23_ACCURI_2_50018-00010-SAND_b594db71-713d-428c-9950-c487b31d6783.webp,SUCCESS,
images\100percent\0004_FA23_STRATA_2_50027-00018.jpg,processed_images\100percent\0004_FA23_STRATA_2_50027-00018.webp,SUCCESS,
images\100percent\0004_FA23_STRATA_2_50028-00018.jpg,processed_images\100percent\0004_FA23_STRATA_2_50028-00018.webp,SUCCESS,
images\100percent\0005_FA23_STRATA_2_50027-00019.jpg,processed_images\100percent\0005_FA23_STRATA_2_50027-00019.webp,SUCCESS,
images\100percent\0005_FA23_STRATA_2_50028-00019.jpg,processed_images\100percent\0005_FA23_STRATA_2_50028-00019.webp,SUCCESS,
images\100percent\0006_FA23_STRATA_2_50027-00020.jpg,processed_images\100percent\0006_FA23_STRATA_2_50027-00020.webp,SUCCESS,
images\100percent\0006_FA23_STRATA_2_50028-00020.jpg,processed_images\100percent\0006_FA23_STRATA_2_50028-00020.webp,SUCCESS,
images\100percent\0007_FA23_STRATA_2_50027-00021.jpg,processed_images\100percent\0007_FA23_STRATA_2_50027-00021.webp,SUCCESS,
images\100percent\0007_FA23_STRATA_2_50028-00021.jpg,processed_images\100percent\0007_FA23_STRATA_2_50028-00021.webp,SUCCESS,
images\100percent\0008_FA23_ARMEGA_50004-00031.jpg,processed_images\100percent\0008_FA23_ARMEGA_50004-00031.webp,SUCCESS,
images\100percent\0008_FA23_STRATA_2_50030-00006-SAND.jpg,processed_images\100percent\0008_FA23_STRATA_2_50030-00006-SAND.webp,SUCCESS,
images\100percent\0008_FA23_ARMEGA_50005-00031.jpg,processed_images\100percent\0008_FA23_ARMEGA_50005-00031.webp,SUCCESS,
images\100percent\0009_FA23_ARMEGA_50004-00032.jpg,processed_images\100percent\0009_FA23_ARMEGA_50004-00032.webp,SUCCESS,
images\100percent\0009_FA23_ARMEGA_50005-00032.jpg,processed_images\100percent\0009_FA23_ARMEGA_50005-00032.webp,SUCCESS,
images\100percent\0010_FA23_ARMEGA_50004-00033.jpg,processed_images\100percent\0010_FA23_ARMEGA_50004-00033.webp,SUCCESS,
images\100percent\0010_FA23_ARMEGA_50005-00033_6bad1f25-bac7-4d30-90fa-38a7ea8403a4.jpg,processed_images\100percent\0010_FA23_ARMEGA_50005-00033_6bad1f25-bac7-4d30-90fa-38a7ea8403a4.webp,SUCCESS,
images\100percent\068A2520_999b3968-978e-4105-940c-1d56a92c24bc.jpg,processed_images\100percent\068A2520_999b3968-978e-4105-940c-1d56a92c24bc.webp,SUCCESS,
images\100percent\068A2548_2c0d1a25-b328-4260-bb97-890abb8ab2c1.jpg,processed_images\100percent\068A2548_2c0d1a25-b328-4260-bb97-890abb8ab2c1.webp,SUCCESS,
images\100percent\10019-001-Palm_4b5f2197-82b1-40cf-9528-f39067a8fba5.jpg,processed_images\100percent\10019-001-Palm_4b5f2197-82b1-40cf-9528-f39067a8fba5.webp,SUCCESS,
images\100percent\10019-001-Palm-White.jpg,processed_images\100percent\10019-001-Palm-White.webp,SUCCESS,
images\100percent\10019-001-Sling-Palm_2.jpg,processed_images\100percent\10019-001-Sling-Palm_2.webp,SUCCESS,
images\100percent\100percentariegeWEB004.jpg,processed_images\100percent\100percentariegeWEB004.webp,SUCCESS,
images\100percent\100percentariegeWEB035.jpg,processed_images\100percent\100percentariegeWEB035.webp,SUCCESS,
images\100percent\100percentariegeWEB071.jpg,processed_images\100percent\100percentariegeWEB071.webp,SUCCESS,
images\100percent\100percentKilianPhotochromic009WEB_5b7c10eb-b850-442a-867d-2c69c915a935.jpg,processed_images\100percent\100percentKilianPhotochromic009WEB_5b7c10eb-b850-442a-867d-2c69c915a935.webp,SUCCESS,
images\100percent\100percentKilianPhotochromic030WEB_c9cb72f0-a740-41db-bce2-0ddc28a67b4a.jpg,processed_images\100percent\100percentKilianPhotochromic030WEB_c9cb72f0-a740-41db-bce2-0ddc28a67b4a.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-1.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-1.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-111_20_281_29.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-111_20_281_29.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-118.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-118.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-13.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-13.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-130.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-130.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-132.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-132.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-135.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-135.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-137.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-137.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-14.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-14.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-142_20_281_29.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-142_20_281_29.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-145.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-145.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-148.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-148.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-16.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-16.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-22.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-22.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-25.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-25.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-30.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-30.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-60_20_281_29.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-60_20_281_29.webp,SUCCESS,
images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-62.jpg,processed_images\100percent\100PERCENT_SNOW_C2_A9MatteoChalle-HD-62.webp,SUCCESS,
images\100percent\100_25-Reece-RB-High-Res-32.jpg,processed_images\100percent\100_25-Reece-RB-High-Res-32.webp,SUCCESS,
images\100percent\100_25-Reece-RB-High-Res-43_20_281_29.jpg,processed_images\100percent\100_25-Reece-RB-High-Res-43_20_281_29.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0000_Stoo-SP26_20MX_20Goggles-06963.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0000_Stoo-SP26_20MX_20Goggles-06963.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0002_Stoo-SP26_20MX_20Goggles-06904.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0002_Stoo-SP26_20MX_20Goggles-06904.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0003_Stoo-SP26_20MX_20Goggles-06903.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0003_Stoo-SP26_20MX_20Goggles-06903.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0004_Stoo-SP26_20MX_20Goggles-07075.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0004_Stoo-SP26_20MX_20Goggles-07075.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0005_Stoo-SP26_20MX_20Goggles-07070.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0005_Stoo-SP26_20MX_20Goggles-07070.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0006_Stoo-SP26_20MX_20Goggles-07021.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0006_Stoo-SP26_20MX_20Goggles-07021.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0007_Stoo-SP26_20MX_20Goggles-07019_20_281_29.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0007_Stoo-SP26_20MX_20Goggles-07019_20_281_29.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0010_Stoo-SP26_20MX_20Goggles-06943_20_281_29.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0010_Stoo-SP26_20MX_20Goggles-06943_20_281_29.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0011_Stoo-SP26_20MX_20Goggles-06924_20_281_29.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0011_Stoo-SP26_20MX_20Goggles-06924_20_281_29.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0012_Stoo-SP26_20MX_20Goggles-06856.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0012_Stoo-SP26_20MX_20Goggles-06856.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0013_Stoo-SP26_20MX_20Goggles-06854.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0013_Stoo-SP26_20MX_20Goggles-06854.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0014_Stoo-SP26_20MX_20Goggles-06847_20_281_29.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0014_Stoo-SP26_20MX_20Goggles-06847_20_281_29.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0015_Stoo-SP26_20MX_20Goggles-06810.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0015_Stoo-SP26_20MX_20Goggles-06810.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0016_Stoo-SP26_20MX_20Goggles-07064.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0016_Stoo-SP26_20MX_20Goggles-07064.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0017_Stoo-SP26_20MX_20Goggles-07053.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0017_Stoo-SP26_20MX_20Goggles-07053.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0021_Stoo-SP26_20MX_20Goggles-06817.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0021_Stoo-SP26_20MX_20Goggles-06817.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0020_Stoo-SP26_20MX_20Goggles-06826.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0020_Stoo-SP26_20MX_20Goggles-06826.webp,SUCCESS,
images\100percent\1500x1500-PDP-SP26MX-_0022_Stoo-SP26_20MX_20Goggles-5349.jpg,processed_images\100percent\1500x1500-PDP-SP26MX-_0022_Stoo-SP26_20MX_20Goggles-5349.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Region_20Longsleeve_0002_Layer_2028.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Region_20Longsleeve_0002_Layer_2028.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Region_20Longsleeve_0003_Layer_2027.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Region_20Longsleeve_0003_Layer_2027.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Crew_0015_Layer_205.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Crew_0015_Layer_205.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Hooded_0006_Layer_2024.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Hooded_0006_Layer_2024.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Hooded_0012_Layer_208.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Roots_20Hooded_0012_Layer_208.webp,SUCCESS,
images\100percent\20044-00000-P_1.jpg,processed_images\100percent\20044-00000-P_1.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Terra_20Long_20Sleeve_0009_Layer_2020.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Terra_20Long_20Sleeve_0009_Layer_2020.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Vortex_20Hooded_0007_Layer_2023.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Vortex_20Hooded_0007_Layer_2023.webp,SUCCESS,
images\100percent\2000x2000-eComm_20PDP-Casual_Vortex_20Hooded_0008_Layer_2021.jpg,processed_images\100percent\2000x2000-eComm_20PDP-Casual_Vortex_20Hooded_0008_Layer_2021.webp,SUCCESS,
images\100percent\20044-00001-P_1.jpg,processed_images\100percent\20044-00001-P_1.webp,SUCCESS,
images\100percent\20044-00008-P_1.jpg,processed_images\100percent\20044-00008-P_1.webp,SUCCESS,
images\100percent\20044-00010-P_1.jpg,processed_images\100percent\20044-00010-P_1.webp,SUCCESS,
images\100percent\20044-00011-P_1.jpg,processed_images\100percent\20044-00011-P_1.webp,SUCCESS,
images\100percent\20047-00005-P_1.jpg,processed_images\100percent\20047-00005-P_1.webp,SUCCESS,
images\100percent\2026_pidcock_le_action1_qm34t6.jpg,processed_images\100percent\2026_pidcock_le_action1_qm34t6.webp,SUCCESS,
images\100percent\2026_pidcock_le_action4.jpg,processed_images\100percent\2026_pidcock_le_action4.webp,SUCCESS,
images\100percent\2026_pidcock_le_action6.jpg,processed_images\100percent\2026_pidcock_le_action6.webp,SUCCESS,
images\100percent\2026_pidcock_le_action7.jpg,processed_images\100percent\2026_pidcock_le_action7.webp,SUCCESS,
images\100percent\2500x2500-GiftCard.jpg,processed_images\100percent\2500x2500-GiftCard.webp,SUCCESS,
images\100percent\29000-00001-P_1.jpg,processed_images\100percent\29000-00001-P_1.webp,SUCCESS,
images\100percent\29000-00001-P_2.jpg,processed_images\100percent\29000-00001-P_2.webp,SUCCESS,
